exp_name,method,ddim steps,f_eval,max_norm,constraint mean,constraint std,constraint 95perc,norm_pred_noise,norm_pred_noise_std,norm_pred_noise_95perc,norm_pred_noise_5perc
end_effector_foot_handdsg50,dsg,50,50,80.0,0.04667449,0.022931576,0.0889133743941783,2.0441064834594727,0.6957160472869873,3.303316230773925,1.0041738080978395
end_effector_foot_handtrust50,trust,50,200,80.0,0.0849190428853035,0.0471271984279155,0.1649911083281039,2.163026237487793,0.6416824340820313,3.270006179809569,1.2767289209365846
end_effector_foot_handtrust50,trust,50,200,82.0,0.0754504576325416,0.0436597391963005,0.1537612564861774,2.028218460083008,0.6494757175445557,3.095490083694457,1.1535799646377565
end_effector_foot_handdsg200,dsg,200,200,80.0,0.0268723852932453,0.0098061840981245,0.0452565435320138,1.5895800590515137,0.5624152183532715,2.625788383483887,0.766827986240387
end_effector_foot_handtrust200,trust,200,800,88.0,0.0697879120707511,0.0507763214409351,0.1615347415208814,1.773040199279785,0.4229377746582031,2.402708492279052,1.1646011781692505
end_effector_foot_handtrust200,trust,200,800,88.5,0.063375324010849,0.0418757759034633,0.1498626954853533,1.6969623565673828,0.4278674602508545,2.4071434974670405,1.0516652822494508
end_effector_foot_handdsg1000,dsg,1000,1000,80.0,0.0210600700229406,0.008947841823101,0.0358960345387458,1.4504452705383302,0.5530052185058594,2.409723386764526,0.6526619625091553
root_controldsg50,dsg,50,50,80.0,0.0475892052054405,0.0247299522161483,0.0940427135676145,2.079706382751465,0.7359752655029297,3.3987243652343744,0.988429684638977
root_controltrust50,trust,50,200,80.0,0.0540345124900341,0.0390699133276939,0.1140759959816932,1.7048957824707032,0.6595135688781738,3.080853033065795,0.9012221574783326
root_controltrust50,trust,50,200,82.0,0.0469885729253292,0.0399384126067161,0.102626997977495,1.6706840515136718,0.668405294418335,3.0259648990631085,0.9159461641311646
root_controldsg200,dsg,200,200,80.0,0.0271221995353698,0.0099789248779416,0.0466055337339639,1.5782689094543456,0.547877025604248,2.580020666122436,0.7747076344490051
root_controltrust200,trust,200,800,88.0,0.0417648442089557,0.0607514902949333,0.0750059030950069,1.4334802627563477,0.4475825786590576,2.188119192123413,0.7827429151535034
root_controltrust200,trust,200,800,88.5,0.0302767120301723,0.0286306086927652,0.0554600495845078,1.4144412994384763,0.4295253753662109,2.149602518081665,0.8038813686370849
root_controldsg1000,dsg,1000,1000,80.0,0.02115466259419918,0.008157504722476006,0.03494118712842464,1.4457987785339355,0.5602843284606933,2.3686311435699454,0.6367151927947998
