,,,,,,,,,,
,,,,,,,,,,
NFEs,,,,,,,,,,
,3,4,5,6,7,8,9,10,dps,dsg
80,120.468002319336,143.735992431641,166.384002685547,190.007995605469,211.92399597168,234.97200012207,257.440002441406,280.127990722656,,
81,129.863998413086,157.240005493164,183.259994506836,209.679992675781,233.559997558594,260.959991455078,287.308013916016,312.843994140625,,
82,144.684005737305,176.483993530273,204.416000366211,237.115997314453,268.436004638672,298.967987060547,329.808013916016,358.799987792969,,
83,168.548004150391,204.343994140625,245.619995117187,281.739990234375,320.144012451172,354.820007324219,394.399993896484,431.023986816406,,
84,190.264007568359,238.255996704102,284.023986816406,327.835998535156,374.032012939453,420.855987548828,466.036010742188,511.167999267578,,
1000,197,246,295,344,393,442,491,540,,
dps,,,,,,,,,200,
dsg,,,,,,,,,,200
,,,,,,,,,,
,,,,,,,,,,
NFEs_std,,,,,,,,,,
,3,4,5,6,7,8,9,10,dps,dsg
80,4.13246726989746,5.58920955657959,6.82045602798462,7.96881055831909,9.26702404022217,10.8492412567139,12.3072443008423,14.5151777267456,,
81,5.39499092102051,7.43042707443237,9.33407211303711,10.2714948654175,10.9887857437134,14.5469188690186,16.6322479248047,17.3997325897217,,
82,9.04207801818848,12.6799392700195,12.8592529296875,15.1643781661987,19.0728340148926,21.3032932281494,25.3438034057617,27.6263065338135,,
83,13.8685626983643,17.4119033813477,21.9564094543457,27.0378360748291,31.3754825592041,35.5363311767578,37.6752128601074,42.8292503356934,,
84,8.98024940490723,11.3497896194458,15.0164375305176,19.2858734130859,23.4878196716309,25.018611907959,27.076322555542,33.371883392334,,
1000,0,0,0,0,0,0,0,0,,
dps,,,,,,,,,0,
dsg,,,,,,,,,,0
,,,,,,,,,,
,,,,,,,,,,
constraint_violations,,,,,,,,,,
,3,4,5,6,7,8,9,10,dps,dsg
80,0.170392856001854,0.062853455543518,0.024259347468615,0.014328448101878,0.010768048465252,0.009941786527634,0.004735511727631,0.001705970149487,,
81,0.109682559967041,0.043879020959139,0.017630714923143,0.009525884874165,0.007793751079589,0.004783879499882,0.003142450470477,0.001737507642247,,
82,0.066879220306873,0.027225824072957,0.011846139095724,0.003834031289443,0.005324955098331,0.002106129424647,0.001731920987368,0.001568544656038,,
83,0.035595573484898,0.012647588737309,0.006273604463786,0.002374942181632,0.001698584645055,0.001135801081546,0.001450319308788,0.000507758872118,,
84,0.020716734230518,0.010109261609614,0.006284296046942,0.002282009227201,0.001039695343934,0.001615709858015,0.000817459833343,0.000361489801435,,
1000,0.022629464045167,0.007025437895209,0.003141527296975,0.003039518138394,0.000984035083093,0.001284305355512,0.000705414102413,0.000231104859267,,
dps,,,,,,,,,0.779124200344086,
dsg,,,,,,,,,,0.00307719479315
,,,,,,,,,,
,,,,,,,,,,
constraint_violations_std,,,,,,,,,,
,3,4,5,6,7,8,9,10,dps,dsg
80,0.146483987569809,0.085888773202896,0.048874117434025,0.027294417843223,0.022296806797385,0.043187387287617,0.011801554821432,0.006368460133672,,
81,0.115765795111656,0.070648729801178,0.038564752787352,0.021297864615917,0.028910866007209,0.015487676486373,0.007911903783679,0.006961244624108,,
82,0.097312659025192,0.0483123883605,0.029622413218021,0.012405385263264,0.019757913425565,0.009071794338524,0.005462271627039,0.005404302384704,,
83,0.068853713572025,0.035969901829958,0.022653553634882,0.00956445094198,0.005060573574156,0.005983044393361,0.005640148185194,0.001526208594441,,
84,0.049220953136683,0.034329652786255,0.02918397821486,0.0083690546453,0.003745596623048,0.007457919884473,0.002777335932478,0.001023238757625,,
1000,0.059501305222511,0.018615270033479,0.012027266435325,0.014244072139263,0.004158409778029,0.005519014783204,0.002965287305415,0.000967876694631,,
dps,,,,,,,,,0.192725077271462,
dsg,,,,,,,,,,0.014273370616138
,,,,,,,,,,
,,,,,,,,,,
pred_noises,,,,,,,,,,
,3,4,5,6,7,8,9,10,dps,dsg
80,0.620099067687988,0.613059103488922,0.58977884054184,0.584836363792419,0.580004990100861,0.548653304576874,0.542617797851563,0.525653958320618,,
81,0.58272922039032,0.5793616771698,0.554831027984619,0.548222780227661,0.532587766647339,0.525732457637787,0.500851333141327,0.487782895565033,,
82,0.546432614326477,0.538645565509796,0.519398927688599,0.503598630428314,0.500848710536957,0.480696469545364,0.47250559926033,0.475804567337036,,
