""
""
NFEs
,03,04,05,06,07,08,09,10,dps,dsg,trust_Jschedule_0_150,trust_Jschedule_0_200,trust_Jschedule_1_150,trust_Jschedule_1_200
0080,120.46800231933594,143.73599243164062,166.38400268554688,190.00799560546875,211.9239959716797,234.9720001220703,257.44000244140625,280.12799072265625,,,126.14399719238281,149.32000732421875,125.53199768066406,152.36399841308594
0082,144.6840057373047,176.48399353027344,204.41600036621094,237.11599731445312,268.4360046386719,298.9679870605469,329.8080139160156,358.79998779296875,,,149.0679931640625,183.34800720214844,148.98399353027344,182.8719940185547
0084,190.26400756835938,238.25599670410156,284.02398681640625,327.83599853515625,374.0320129394531,420.8559875488281,466.0360107421875,511.1679992675781,,,189.06399536132812,234.81199645996094,189.0,236.58399963378906
1000,197.0,246.0,295.0,344.0,393.0,442.0,491.0,540.0,,,194.0,242.0,195.0,243.0
dps,,,,,,,,,200.0,,,,,
dsg,,,,,,,,,,200.0,,,,
""
""
NFEs_std
,03,04,05,06,07,08,09,10,dps,dsg,trust_Jschedule_0_150,trust_Jschedule_0_200,trust_Jschedule_1_150,trust_Jschedule_1_200
0080,4.132467269897461,5.58920955657959,6.820456027984619,7.968810558319092,9.267024040222168,10.849241256713867,12.307244300842285,14.515177726745605,,,5.968059539794922,11.182745933532715,4.74161434173584,5.663196086883545
0082,9.042078018188477,12.679939270019531,12.8592529296875,15.16437816619873,19.072834014892578,21.303293228149414,25.34380340576172,27.626306533813477,,,8.47435188293457,12.581098556518555,7.20662784576416,10.03085708618164
0084,8.980249404907227,11.3497896194458,15.016437530517578,19.285873413085938,23.48781967163086,25.018611907958984,27.076322555541992,33.371883392333984,,,7.456696033477783,10.614486694335938,8.27149772644043,9.25774097442627
1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
dps,,,,,,,,,0.0,,,,,
dsg,,,,,,,,,,0.0,,,,
""
""
constraint_violations
,03,04,05,06,07,08,09,10,dps,dsg,trust_Jschedule_0_150,trust_Jschedule_0_200,trust_Jschedule_1_150,trust_Jschedule_1_200
0080,0.17039285600185394,0.06285345554351807,0.024259347468614578,0.014328448101878166,0.010768048465251923,0.009941786527633667,0.004735511727631092,0.001705970149487257,,,0.31394869089126587,0.18350698053836823,0.08275098353624344,0.014267528429627419
0082,0.06687922030687332,0.02722582407295704,0.011846139095723629,0.0038340312894433737,0.005324955098330975,0.0021061294246464968,0.00173192098736763,0.0015685446560382843,,,0.20959153771400452,0.0675969198346138,0.040475718677043915,0.012714819982647896
0084,0.02071673423051834,0.010109261609613895,0.0062842960469424725,0.0022820092272013426,0.0010396953439339995,0.0016157098580151796,0.000817459833342582,0.00036148980143480003,,,0.06047751381993294,0.019609883427619934,0.01705656200647354,0.005133593920618296
1000,0.02262946404516697,0.007025437895208597,0.003141527296975255,0.0030395181383937597,0.0009840350830927491,0.0012843053555116057,0.0007054141024127603,0.00023110485926736146,,,0.0831213891506195,0.024084176868200302,0.02049243450164795,0.003967748489230871
dps,,,,,,,,,0.7791242003440857,,,,,
dsg,,,,,,,,,,0.003077194793149829,,,,
""
""
constraint_violations_std
,03,04,05,06,07,08,09,10,dps,dsg,trust_Jschedule_0_150,trust_Jschedule_0_200,trust_Jschedule_1_150,trust_Jschedule_1_200
0080,0.14648398756980896,0.08588877320289612,0.04887411743402481,0.027294417843222618,0.022296806797385216,0.04318738728761673,0.011801554821431637,0.0063684601336717606,,,0.3101498484611511,0.29295021295547485,0.09499797224998474,0.04005120322108269
0082,0.09731265902519226,0.048312388360500336,0.029622413218021393,0.01240538526326418,0.019757913425564766,0.009071794338524342,0.005462271627038717,0.005404302384704351,,,0.28205573558807373,0.14954853057861328,0.08229514211416245,0.05550482124090195
0084,0.04922095313668251,0.03432965278625488,0.029183978214859962,0.008369054645299911,0.0037455966230481863,0.007457919884473085,0.0027773359324783087,0.0010232387576252222,,,0.13204193115234375,0.08390533179044724,0.04467669129371643,0.02624436467885971
1000,0.05950130522251129,0.018615270033478737,0.012027266435325146,0.014244072139263153,0.004158409778028727,0.005519014783203602,0.0029652873054146767,0.0009678766946308315,,,0.18388308584690094,0.08604828268289566,0.06858488917350769,0.01625431329011917
dps,,,,,,,,,0.1927250772714615,,,,,
dsg,,,,,,,,,,0.014273370616137981,,,,
""
""
pred_noises
,03,04,05,06,07,08,09,10,dps,dsg,trust_Jschedule_0_150,trust_Jschedule_0_200,trust_Jschedule_1_150,trust_Jschedule_1_200
0080,0.6200990676879883,0.6130591034889221,0.5897788405418396,0.5848363637924194,0.5800049901008606,0.5486533045768738,0.5426177978515625,0.5256539583206177,,,0.8199129700660706,0.7753050327301025,0.741633951663971,0.6901483535766602
0082,0.546432614326477,0.5386455655097961,0.5193989276885986,0.5035986304283142,0.5008487105369568,0.4806964695453644,0.4725055992603302,0.47580456733703613,,,0.7551625967025757,0.6938950419425964,0.6346981525421143,0.600637674331665
0084,0.4846281409263611,0.4737940728664398,0.4609334170818329,0.45483478903770447,0.4586664140224457,0.4379348158836365,0.42273297905921936,0.42322781682014465,,,0.6078696846961975,0.5587873458862305,0.5205433368682861,0.49800288677215576
1000,0.477951318025589,0.47910577058792114,0.4500412344932556,0.45305320620536804,0.44100210070610046,0.43619024753570557,0.42593762278556824,0.4091002345085144,,,0.6012706160545349,0.5523040294647217,0.5115167498588562,0.4816776514053345
dps,,,,,,,,,0.1822192668914795,,,,,
dsg,,,,,,,,,,0.4436977505683899,,,,
""
""
pred_noises_std
